"","V1","V2","V3","V4","V5","V6"
"1","Alabama","0.298701298701299","0.0941176470588235","0.0819672131147541","0.236842105263158","0.0315789473684211"
"2","Alaska","0.766233766233766","0.352941176470588","0.311475409836066","0.5","0.178947368421053"
"3","Arizona","0.493506493506494","0.223529411764706","0.524590163934426","0.421052631578947","0.0631578947368421"
"4","Arkansas","0.272727272727273","0.0352941176470588","0.60655737704918","0.171052631578947","0"
"5","California","0.363636363636364","0.352941176470588","1","0.184210526315789","0.0842105263157895"
"6","Colorado","0.571428571428571","0.411764705882353","0.557377049180328","0.460526315789474","0.115789473684211"
"7","Connecticut","0.688311688311688","0.752941176470588","0.754098360655738","0.473684210526316","0.136842105263158"
"8","Delaware","1","0.305882352941176","0.721311475409836","0.815789473684211","0.157894736842105"
"9","District of Columbia","0.844155844155844","0.870588235294118","0.590163934426229","1","1"
"10","Florida","0.441558441558442","0.211764705882353","0.704918032786885","0.263157894736842","0.0631578947368421"
"11","Georgia","0.272727272727273","0.129411764705882","0.442622950819672","0.276315789473684","0.0526315789473684"
"12","Hawaii","0.636363636363636","0.317647058823529","0.950819672131147","0.460526315789474","0.0842105263157895"
"13","Idaho","0.324675324675325","0.211764705882353","0.426229508196721","0.473684210526316","0.0736842105263158"
"14","Illinois","0.324675324675325","0.294117647058824","0.868852459016393","0.184210526315789","0.0631578947368421"
"15","Indiana","0.454545454545455","0.188235294117647","0.590163934426229","0.144736842105263","0.0421052631578947"
"16","Iowa","0.532467532467532","0.211764705882353","0.622950819672131","0.289473684210526","0.0421052631578947"
"17","Kansas","0.441558441558442","0.164705882352941","0.639344262295082","0.223684210526316","0.0421052631578947"
"18","Kentucky","0.363636363636364","0.2","0.491803278688525","0.171052631578947","0.0526315789473684"
"19","Louisiana","0.207792207792208","0.117647058823529","0.524590163934426","0.0789473684210526","0.0315789473684211"
"20","Maine","0.831168831168831","0.788235294117647","0.557377049180328","0.697368421052632","0.210526315789474"
"21","Maryland","0.714285714285714","0.552941176470588","0.770491803278688","0.855263157894737","0.652631578947368"
"22","Massachusetts","0.532467532467532","0.764705882352941","0.852459016393443","0.697368421052632","0.168421052631579"
"23","Michigan","0.376623376623377","0.211764705882353","0.639344262295082","0.0789473684210526","0.0631578947368421"
"24","Minnesota","0.519480519480519","0.482352941176471","0.557377049180328","0.381578947368421","0.136842105263158"
"25","Mississippi","0.103896103896104","0.117647058823529","0.360655737704918","0.0526315789473684","0.0105263157894737"
"26","Missouri","0.441558441558442","0.270588235294118","0.278688524590164","0.473684210526316","0.0631578947368421"
"27","Montana","0.480519480519481","0.352941176470588","0","0.684210526315789","0.147368421052632"
"28","Nebraska","0.545454545454545","0.258823529411765","0.524590163934426","0.210526315789474","0.0315789473684211"
"29","Nevada","0.506493506493506","0.129411764705882","0.639344262295082","0.276315789473684","0.0421052631578947"
"30","New Hampshire","0.662337662337662","0.411764705882353","0.655737704918033","0.5","0.136842105263158"
"31","New Jersey","0.532467532467532","0.435294117647059","0.868852459016393","0.434210526315789","0.105263157894737"
"32","New Mexico","0.636363636363636","0.329411764705882","0.655737704918033","0.723684210526316","0.115789473684211"
"33","New York","0.597402597402597","0.894117647058824","0.934426229508197","0.342105263157895","0.136842105263158"
"34","North Carolina","0.480519480519481","0.2","0.442622950819672","0.592105263157895","0.0842105263157895"
"35","North Dakota","0.61038961038961","0.129411764705882","0.39344262295082","0.105263157894737","0.0315789473684211"
"36","Ohio","0.493506493506494","0.211764705882353","0.459016393442623","0.184210526315789","0.0421052631578947"
"37","Oklahoma","0.337662337662338","0.0823529411764706","0.442622950819672","0.131578947368421","0.0210526315789474"
"38","Oregon","0.623376623376623","0.505882352941176","0.737704918032787","0.421052631578947","0.126315789473684"
"39","Pennsylvania","0.545454545454545","0.364705882352941","0.590163934426229","0.671052631578947","0.115789473684211"
"40","Rhode Island","0.805194805194805","0.682352941176471","0.819672131147541","0.302631578947368","0.157894736842105"
"41","South Carolina","0.363636363636364","0.0941176470588235","0.344262295081967","0.460526315789474","0.0736842105263158"
"42","South Dakota","0.519480519480519","0","0.229508196721312","0.263157894736842","0.0526315789473684"
"43","Tennessee","0.441558441558442","0.129411764705882","0.344262295081967","0.342105263157895","0.0315789473684211"
"44","Texas","0.311688311688312","0.117647058823529","0.688524590163934","0","0.0315789473684211"
"45","Utah","0.233766233766234","0.270588235294118","0.672131147540984","0.289473684210526","0.0631578947368421"
"46","Vermont","0.727272727272727","1","0.721311475409836","0.842105263157895","0.178947368421053"
"47","Virginia","0.597402597402597","0.364705882352941","0.622950819672131","0.842105263157895","0.484210526315789"
"48","Washington","0.649350649350649","0.517647058823529","0.688524590163934","0.526315789473684","0.147368421052632"
"49","West Virginia","0.207792207792208","0.0823529411764706","0.327868852459016","0.486842105263158","0.0842105263157895"
"50","Wisconsin","0.558441558441558","0.270588235294118","0.409836065573771","0.210526315789474","0.0736842105263158"
"51","Wyoming","0","0.435294117647059","0.180327868852459","0.736842105263158","0.0315789473684211"
