"","stateNames","statebystateprob"
"1","Georgia","46"
"2","South Carolina","88.1"
"3","Ohio","63.2"
"4","Pennsylvania","19.6"
"5","North Carolina","38.5"
"6","","23"
"7","Florida","23.4"
"8","Montana","95.6"
"9","Arizona","47"
"10","Michigan","14.7"
"11","Wisconsin","19.8"
"12","Kentucky","97.7"
"13","Texas","53"
"14","Alabama","98.4"
"15","Alaska","80.2"
"16","Nebraska CD-2","25.7"
"17","Maine","1.7"
"18","Missouri","72"
"19","Colorado","1.3"
"20","New York","0.3"
"21","Minnesota","5.1"
"22","New Hampshire","36.8"
"23","New Mexico","9"
"24","Arkansas","69.6"
"25","Iowa","55.8"
"26","Oklahoma","98.9"
"27","Mississippi","83.3"
"28","Kansas","95.7"
"29","California","0"
"30","Indiana","85.3"
"31","Maryland","0.3"
"32","Tennessee","90.3"
"33","Washington","0.3"
"34","Virginia","10.5"
"35","Utah","95.3"
"36","Massachusetts","0"
"37","New Jersey","0.7"
"38","Connecticut","1.2"
"39","Nevada","17.9"
"40","North Dakota","98.6"
"41","Delaware","1.5"
"42","West Virginia","100"
"43","Maine CD-1","3.5"
"44","Maine CD-2","37.7"
"45","District of Columbia","0"
"46","Hawaii","0"
"47","Idaho","99.9"
"48","Illinois","0.9"
"49","Louisiana","99"
"50","Nebraska","99.8"
"51","Nebraska CD-1","95.4"
"52","Nebraska CD-3","100"
"53","Oregon","2.2"
"54","Rhode Island","0.7"
"55","South Dakota","100"
"56","Vermont","0"
"57","Wyoming","100"
